k,distance
1,630600.4444444445
2,486940.8404255319
3,420230.4201591512
4,377128.2380422692
5,333868.1018315018
6,354015.41883116885
7,350548.9077200577
8,354184.01269257703
9,345966.88349885406
10,354874.197869204
